# CFG: CANIF_CHANNEL_CNT=2 ; CANIF_PUBLIC_DEV_ERROR_DETECT=STD_ON ; CANIF_PUBLIC_PN_SUPPORT=STD_OFF ; CANIF_PUBLIC_TX_BUFFERING=STD_OFF
# TARGET: Std_ReturnType CanIf_SetPduMode(uint8 ControllerId ; CanIf_PduSetModeType PduModeRequest) @ CanIf.c L1342
# 列语义: (设定)=脚本枚举 ; (期待)/(记录)=执行后回填(M2.5 host / WinAMS)

# B01 | if | 来自宏 VALIDATE_RV | ( TRUE == CanIf_Global . initRun ) | [CanIf_Global.initRun:int == 1]
% True
% False
# B02 | if | 来自宏 VALIDATE_RV | ( ControllerId < CANIF_CHANNEL_CNT ) | [ControllerId:int < 2]
% True
% False
# B03 | switch | PduModeRequest
% case CANIF_SET_OFFLINE(0)
% case CANIF_SET_ONLINE(5)
% case CANIF_SET_RX_OFFLINE(1)
% case CANIF_SET_RX_ONLINE(2)
% case CANIF_SET_TX_OFFLINE(3)
% case CANIF_SET_TX_OFFLINE_ACTIVE(6)
% case CANIF_SET_TX_ONLINE(4)
% default(其他值)
# B04 | if | CANIF_GET_ONLINE == currMode | [currMode:int == 3(CANIF_GET_ONLINE)]
% True
% False
# B05 | if | elseif链1 | CANIF_GET_RX_ONLINE == currMode | [currMode:int == 1(CANIF_GET_RX_ONLINE)]
% True
% False
# B06 | if | elseif链2 | CANIF_GET_OFFLINE_ACTIVE_RX_ONLINE == currMode | [currMode:int == 5(CANIF_GET_OFFLINE_ACTIVE_RX_ONLINE)]
% True
% False
# B07 | if | CANIF_GET_TX_ONLINE == currMode | [currMode:int == 2(CANIF_GET_TX_ONLINE)]
% True
% False
# B08 | if | elseif链1 | CANIF_GET_OFFLINE == currMode | [currMode:int == 0(CANIF_GET_OFFLINE)]
% True
% False
# B09 | if | elseif链2 | CANIF_GET_OFFLINE_ACTIVE == currMode | [currMode:int == 4(CANIF_GET_OFFLINE_ACTIVE)]
% True
% False
# B10 | if | ( CANIF_GET_ONLINE == currMode ) || ( CANIF_GET_OFFLINE_ACTIVE_RX_ONLINE == currMode ) | [currMode:int == 3(CANIF_GET_ONLINE)] | [currMode:int == 5(CANIF_GET_OFFLINE_ACTIVE_RX_ONLINE)]
% T F
% F T
% F F
# B11 | if | elseif链1 | ( CANIF_GET_TX_ONLINE == currMode ) || ( CANIF_GET_OFFLINE_ACTIVE == currMode ) | [currMode:int == 2(CANIF_GET_TX_ONLINE)] | [currMode:int == 4(CANIF_GET_OFFLINE_ACTIVE)]
% T F
% F T
% F F
# B12 | if | CANIF_GET_OFFLINE == currMode || CANIF_GET_TX_ONLINE == currMode | [currMode:int == 0(CANIF_GET_OFFLINE)] | [currMode:int == 2(CANIF_GET_TX_ONLINE)]
% T F
% F T
% F F
# B13 | if | elseif链1 | ( CANIF_GET_ONLINE == currMode ) || ( CANIF_GET_RX_ONLINE == currMode ) | [currMode:int == 3(CANIF_GET_ONLINE)] | [currMode:int == 1(CANIF_GET_RX_ONLINE)]
% T F
% F T
% F F
# B14 | if | CANIF_GET_OFFLINE == currMode | [currMode:int == 0(CANIF_GET_OFFLINE)]
% True
% False
# B15 | if | elseif链1 | ( CANIF_GET_RX_ONLINE == currMode ) || ( CANIF_GET_OFFLINE_ACTIVE_RX_ONLINE == currMode ) | [currMode:int == 1(CANIF_GET_RX_ONLINE)] | [currMode:int == 5(CANIF_GET_OFFLINE_ACTIVE_RX_ONLINE)]
% T F
% F T
% F F
# B16 | if | elseif链2 | CANIF_GET_OFFLINE_ACTIVE == currMode | [currMode:int == 4(CANIF_GET_OFFLINE_ACTIVE)]
% True
% False
case_id,callcnt00(期待),ARG00_ModuleId(记录),ARG00_InstanceId(记录),ARG00_ApiId(记录),ARG00_ErrorId(记录),ControllerId(设定),PduModeRequest(设定),ret(期待),initRun(设定),currMode(设定),PduMode_after(期待)
U001,?,?,?,?,?,0,0(SET_OFFLINE),?,0(FALSE),0,?
U002,?,?,?,?,?,0,0(SET_OFFLINE),?,0(FALSE),1,?
U003,?,?,?,?,?,0,0(SET_OFFLINE),?,0(FALSE),2,?
U004,?,?,?,?,?,0,0(SET_OFFLINE),?,0(FALSE),3,?
U005,?,?,?,?,?,0,0(SET_OFFLINE),?,0(FALSE),4,?
U006,?,?,?,?,?,0,0(SET_OFFLINE),?,0(FALSE),5,?
U007,?,?,?,?,?,0,0(SET_OFFLINE),?,1(TRUE),0,?
U008,?,?,?,?,?,0,0(SET_OFFLINE),?,1(TRUE),1,?
U009,?,?,?,?,?,0,0(SET_OFFLINE),?,1(TRUE),2,?
U010,?,?,?,?,?,0,0(SET_OFFLINE),?,1(TRUE),3,?
U011,?,?,?,?,?,0,0(SET_OFFLINE),?,1(TRUE),4,?
U012,?,?,?,?,?,0,0(SET_OFFLINE),?,1(TRUE),5,?
U013,?,?,?,?,?,0,1(SET_RX_OFFLINE),?,0(FALSE),0,?
U014,?,?,?,?,?,0,1(SET_RX_OFFLINE),?,0(FALSE),1,?
U015,?,?,?,?,?,0,1(SET_RX_OFFLINE),?,0(FALSE),2,?
U016,?,?,?,?,?,0,1(SET_RX_OFFLINE),?,0(FALSE),3,?
U017,?,?,?,?,?,0,1(SET_RX_OFFLINE),?,0(FALSE),4,?
U018,?,?,?,?,?,0,1(SET_RX_OFFLINE),?,0(FALSE),5,?
U019,?,?,?,?,?,0,1(SET_RX_OFFLINE),?,1(TRUE),0,?
U020,?,?,?,?,?,0,1(SET_RX_OFFLINE),?,1(TRUE),1,?
U021,?,?,?,?,?,0,1(SET_RX_OFFLINE),?,1(TRUE),2,?
U022,?,?,?,?,?,0,1(SET_RX_OFFLINE),?,1(TRUE),3,?
U023,?,?,?,?,?,0,1(SET_RX_OFFLINE),?,1(TRUE),4,?
U024,?,?,?,?,?,0,1(SET_RX_OFFLINE),?,1(TRUE),5,?
U025,?,?,?,?,?,0,2(SET_RX_ONLINE),?,0(FALSE),0,?
U026,?,?,?,?,?,0,2(SET_RX_ONLINE),?,0(FALSE),1,?
U027,?,?,?,?,?,0,2(SET_RX_ONLINE),?,0(FALSE),2,?
U028,?,?,?,?,?,0,2(SET_RX_ONLINE),?,0(FALSE),3,?
U029,?,?,?,?,?,0,2(SET_RX_ONLINE),?,0(FALSE),4,?
U030,?,?,?,?,?,0,2(SET_RX_ONLINE),?,0(FALSE),5,?
U031,?,?,?,?,?,0,2(SET_RX_ONLINE),?,1(TRUE),0,?
U032,?,?,?,?,?,0,2(SET_RX_ONLINE),?,1(TRUE),1,?
U033,?,?,?,?,?,0,2(SET_RX_ONLINE),?,1(TRUE),2,?
U034,?,?,?,?,?,0,2(SET_RX_ONLINE),?,1(TRUE),3,?
U035,?,?,?,?,?,0,2(SET_RX_ONLINE),?,1(TRUE),4,?
U036,?,?,?,?,?,0,2(SET_RX_ONLINE),?,1(TRUE),5,?
U037,?,?,?,?,?,0,3(SET_TX_OFFLINE),?,0(FALSE),0,?
U038,?,?,?,?,?,0,3(SET_TX_OFFLINE),?,0(FALSE),1,?
U039,?,?,?,?,?,0,3(SET_TX_OFFLINE),?,0(FALSE),2,?
U040,?,?,?,?,?,0,3(SET_TX_OFFLINE),?,0(FALSE),3,?
U041,?,?,?,?,?,0,3(SET_TX_OFFLINE),?,0(FALSE),4,?
U042,?,?,?,?,?,0,3(SET_TX_OFFLINE),?,0(FALSE),5,?
U043,?,?,?,?,?,0,3(SET_TX_OFFLINE),?,1(TRUE),0,?
U044,?,?,?,?,?,0,3(SET_TX_OFFLINE),?,1(TRUE),1,?
U045,?,?,?,?,?,0,3(SET_TX_OFFLINE),?,1(TRUE),2,?
U046,?,?,?,?,?,0,3(SET_TX_OFFLINE),?,1(TRUE),3,?
