# CFG: CANIF_CHANNEL_CNT=2 ; CANIF_PUBLIC_DEV_ERROR_DETECT=STD_ON ; CANIF_PUBLIC_PN_SUPPORT=STD_OFF ; CANIF_PUBLIC_TX_BUFFERING=STD_OFF
# TARGET: Std_ReturnType CanIf_SetPduMode(uint8 ControllerId ; CanIf_PduSetModeType PduModeRequest) @ CanIf.c L1342
# 列语义: (设定)=用例输入 ; (期待)=期望输出 ; (记录)=stub 捕获的实际传入值(期待值形式校验)
# 本函数无指针引数(指针引数的 @地址 约定见规格 §4.1 ; 含指针的 golden 后续以 CanIf_Transmit/PduInfoPtr 补)
# 本文件为格式确认样例(数据行 17 条代表性用例) ; 五点全展开+pairwise 的全量表由 M2 脚本生成
#
# B01 | if | VALIDATE_RV((TRUE == CanIf_Global.initRun) ; ...) 展开: if(!(1 == initRun)){Det_ReportError(CANIF_MODULE_ID ;0;CANIF_SETPDUMODE_ID;CANIF_E_UNINIT); return 1;} | initRun: boolean(TRUE=1;FALSE=0)
% True
% False
# B02 | if | VALIDATE_RV((ControllerId < CANIF_CHANNEL_CNT) ; ...) 展开: if(!(ControllerId < 2)){Det_ReportError(...;CANIF_E_PARAM_CONTROLLERID); return 1;} | ControllerId: uint8 | CANIF_CHANNEL_CNT=2(配置值)
% True
% False
# B03 | switch | switch(PduModeRequest) | PduModeRequest: CanIf_PduSetModeType(uint8) ; SET_OFFLINE=0 SET_RX_OFFLINE=1 SET_RX_ONLINE=2 SET_TX_OFFLINE=3 SET_TX_ONLINE=4 SET_ONLINE=5 SET_TX_OFFLINE_ACTIVE=6
% case CANIF_SET_OFFLINE(0)
% case CANIF_SET_RX_OFFLINE(1)
% case CANIF_SET_RX_ONLINE(2)
% case CANIF_SET_TX_OFFLINE(3)
% case CANIF_SET_TX_ONLINE(4)
% case CANIF_SET_ONLINE(5)
% case CANIF_SET_TX_OFFLINE_ACTIVE(6)
% default(其他值 7..255)
# B04 | if/elseif链 | case1内: (CANIF_GET_ONLINE==currMode) / else if (CANIF_GET_RX_ONLINE==currMode) / else if (CANIF_GET_OFFLINE_ACTIVE_RX_ONLINE==currMode) 展开: currMode==3 / currMode==1 / currMode==5 | currMode: CanIf_PduGetModeType(uint8)
% 第一判定True(currMode=3)
% 第一F·第二True(currMode=1)
% 第一F·第二F·第三True(currMode=5)
% 全False(其他)
# B05 | if/elseif链 | case2内: currMode==2 / currMode==0 / currMode==4
% 第一判定True(currMode=2)
% 第一F·第二True(currMode=0)
% 第一F·第二F·第三True(currMode=4)
% 全False(其他)
# B06 | if+elseif | case3内: (CANIF_GET_ONLINE==currMode)||(CANIF_GET_OFFLINE_ACTIVE_RX_ONLINE==currMode) 展开: (currMode==3)||(currMode==5) —— || 条件不列 T T 行
% T F (currMode=3)
% F T (currMode=5)
% F F
# B06b | elseif | case3内: (CANIF_GET_TX_ONLINE==currMode)||(CANIF_GET_OFFLINE_ACTIVE==currMode) 展开: (currMode==2)||(currMode==4) —— || 条件不列 T T 行
% T F (currMode=2)
% F T (currMode=4)
% F F
# B07 | if+elseif | case6内: (CANIF_GET_OFFLINE==currMode)||(CANIF_GET_TX_ONLINE==currMode) 展开: (currMode==0)||(currMode==2) —— || 条件不列 T T 行
% T F (currMode=0)
% F T (currMode=2)
% F F
# B07b | elseif | case6内: (CANIF_GET_ONLINE==currMode)||(CANIF_GET_RX_ONLINE==currMode) 展开: (currMode==3)||(currMode==1) —— || 条件不列 T T 行
% T F (currMode=3)
% F T (currMode=1)
% F F
# B08 | if/elseif链 | case4内: currMode==0 / (currMode==1)||(currMode==5) / currMode==4 —— 中间判定为 || 不列 T T
% 第一判定True(currMode=0)
% 第一F·第二True(currMode=1 或 5)
% 第一F·第二F·第三True(currMode=4)
% 全False(currMode=2 或 3)
# B09 | default | ret = E_NOT_OK(1) ; newMode = currMode | 无条件
% (无条件执行)
case_id,callcnt00(期待),ARG00_ModuleId(记录),ARG00_InstanceId(记录),ARG00_ApiId(记录),ARG00_ErrorId(记录),ControllerId(设定),PduModeRequest(设定),ret(期待),initRun(设定),currMode(设定),PduMode_after(期待)
U01,0,-,-,-,-,0,0(SET_OFFLINE),0(E_OK),1(TRUE),0(GET_OFFLINE),0(GET_OFFLINE)
U02,0,-,-,-,-,0,1(SET_RX_OFFLINE),0(E_OK),1,3(GET_ONLINE),2(GET_TX_ONLINE)
U03,0,-,-,-,-,0,1(SET_RX_OFFLINE),0(E_OK),1,1(GET_RX_ONLINE),0(GET_OFFLINE)
U04,0,-,-,-,-,0,1(SET_RX_OFFLINE),0(E_OK),1,5(GET_OFFLINE_ACTIVE_RX_ONLINE),4(GET_OFFLINE_ACTIVE)
U05,0,-,-,-,-,0,1(SET_RX_OFFLINE),0(E_OK),1,0(GET_OFFLINE),0(GET_OFFLINE)
U06,0,-,-,-,-,0,2(SET_RX_ONLINE),0(E_OK),1,2(GET_TX_ONLINE),3(GET_ONLINE)
U07,0,-,-,-,-,0,3(SET_TX_OFFLINE),0(E_OK),1,3(GET_ONLINE),1(GET_RX_ONLINE)
U08,0,-,-,-,-,0,3(SET_TX_OFFLINE),0(E_OK),1,2(GET_TX_ONLINE),0(GET_OFFLINE)
U09,0,-,-,-,-,0,6(SET_TX_OFFLINE_ACTIVE),0(E_OK),1,0(GET_OFFLINE),4(GET_OFFLINE_ACTIVE)
U10,0,-,-,-,-,0,4(SET_TX_ONLINE),0(E_OK),1,4(GET_OFFLINE_ACTIVE),2(GET_TX_ONLINE)
U11,0,-,-,-,-,0,5(SET_ONLINE),0(E_OK),1,0(GET_OFFLINE),3(GET_ONLINE)
U12,0,-,-,-,-,0,7(非法值=max6+1),1(E_NOT_OK),1,0(GET_OFFLINE),0(GET_OFFLINE)
U13,1,CANIF_MODULE_ID(配置值),0,CANIF_SETPDUMODE_ID,CANIF_E_UNINIT,0,0(SET_OFFLINE),1(E_NOT_OK),0(FALSE),0(GET_OFFLINE),0(GET_OFFLINE)
U14,1,CANIF_MODULE_ID(配置值),0,CANIF_SETPDUMODE_ID,CANIF_E_PARAM_CONTROLLERID,2(=CNT 边界),0(SET_OFFLINE),1(E_NOT_OK),1(TRUE),0(GET_OFFLINE),0(GET_OFFLINE)
U15,1,CANIF_MODULE_ID(配置值),0,CANIF_SETPDUMODE_ID,CANIF_E_PARAM_CONTROLLERID,255(uint8 max),0(SET_OFFLINE),1(E_NOT_OK),1(TRUE),0(GET_OFFLINE),0(GET_OFFLINE)
U16,0,-,-,-,-,1(=CNT-1),0(SET_OFFLINE),0(E_OK),1(TRUE),0(GET_OFFLINE),0(GET_OFFLINE)
U17,1,CANIF_MODULE_ID(配置值),0,CANIF_SETPDUMODE_ID,CANIF_E_PARAM_CONTROLLERID,3(=CNT+1),0(SET_OFFLINE),1(E_NOT_OK),1(TRUE),0(GET_OFFLINE),0(GET_OFFLINE)
# 边界五点覆盖核对(按可达域): initRun {1 本身; 0=min=FALSE; 1+1=2 非法 boolean 不加} ; ControllerId 对 B02 五点全取 {0=min; 1=CNT-1; 2=CNT 本身; 3=CNT+1; 255=可达max} — 2/3/255 同走 False, 一个分支允许多条用例 ; B02 通过后 ControllerId 可达域 {0,1} → 下游分支 min=0 max=1 ; PduModeRequest {0..6 本身; 7=max+1 触发 default; min=0; max=6} ; currMode {0..5 本身; min=0; max=5}
# 体现区别(期待值层面): 不同分支用例在 ret/PduMode_after/callcnt00/ARG00_ErrorId 上可区分(如 U01 ret=0 → U12 ret=1 → U13 ErrorId=UNINIT → U14 ErrorId=PARAM_CONTROLLERID) ; 同分支多条允许(U14/U15/U17 同期待)
# 组合行规则: || 条件不列 T T 行 ; && 条件不列 F F 行 (既定)
